alpha,CL,CD,CDp,CM,Top_Xtr_Relative,Bot_Xtr_Relative
0.0,39.4728,0.58777,0.08074,*,0.3666,0.03
0.2,41.7264,0.59072,0.08176,*,0.3545,0.0359
0.4,43.95,0.59551,0.08366,*,0.3396,0.0397
0.6,46.1589,0.59031,0.08435,*,0.3306,0.0727
0.8,48.4004,0.59315,0.08595,*,0.3186,0.0798
1.0,50.6142,0.59722,0.08912,*,0.3073,0.096
1.2,52.8608,0.595,0.09079,*,0.2986,0.1217
1.4,55.074,0.59273,0.09339,*,0.2909,0.1577
1.6,57.3185,0.59234,0.09623,*,0.2838,0.1831
1.8,59.5823,0.58874,0.09822,*,0.2795,0.2125
2.0,61.843,0.58684,0.10096,*,0.2763,0.2384
2.2,64.0734,0.58818,0.10511,*,0.2703,0.266
2.4,66.3227,0.58755,0.10857,*,0.2656,0.2927
2.6,68.5883,0.58697,0.11186,*,0.2609,0.3157
2.8,70.8552,0.58308,0.115,*,0.2596,0.3514
3.0,73.108,0.57791,0.1186,*,0.2583,0.3967
3.2,75.3138,0.57548,0.12412,*,0.2528,0.448
3.4,77.4117,0.5602,0.13196,*,0.244,0.5772
3.6,79.655,0.55864,0.13639,*,0.2396,0.6116
3.8,81.8871,0.55565,0.14125,*,0.2374,0.6539
4.0,83.9952,0.55698,0.1503,*,0.2263,0.7166
4.2,86.0975,0.54452,0.15757,*,0.2191,0.8156
4.4,88.0865,0.55251,0.17002,*,0.1995,0.8726
4.6,89.9138,0.58557,0.19274,*,0.1604,0.9003
4.8,91.9225,0.59926,0.20509,*,0.1479,0.9258
5.0,93.9561,0.60779,0.21446,*,0.1374,0.9502
5.2,95.8644,0.62676,0.22869,*,0.12,0.9689
5.4,97.8565,0.64593,0.24264,*,0.1089,0.9793
5.6,100.0361,0.66328,0.25462,*,0.0962,0.9871
5.8,102.543,0.68539,0.2695,*,0.0829,0.9941
6.0,105.2368,0.69669,0.27841,*,0.0791,0.9993
6.2,107.4258,0.71291,0.2911,*,0.0745,1.0
6.4,109.4295,0.73203,0.30483,*,0.0667,1.0
6.6,111.5292,0.74456,0.31477,*,0.0598,1.0
6.8,113.5126,0.76718,0.33178,*,0.0546,1.0
7.0,115.4698,0.79241,0.35036,*,0.0465,1.0
7.2,117.3481,0.82475,0.3745,*,0.0335,1.0
7.4,119.1358,0.86513,0.40554,*,0.0176,1.0
7.6,121.1758,0.88369,0.42186,*,0.015,1.0
7.8,123.2521,0.89888,0.43559,*,0.0125,1.0
8.0,125.3279,0.91371,0.44946,*,0.0118,1.0
8.2,127.3661,0.93135,0.46597,*,0.011,1.0
8.4,129.3543,0.95276,0.48535,*,0.0097,1.0
8.6,131.3528,0.97285,0.50381,*,0.0081,1.0
8.8,133.3996,0.98837,0.51846,*,0.008,1.0
9.0,135.4342,1.00438,0.53362,*,0.008,1.0
9.2,137.4538,1.02104,0.54944,*,0.0079,1.0
9.4,139.4568,1.03844,0.56598,*,0.0077,1.0
9.6,141.4361,1.05712,0.58367,*,0.0074,1.0
9.8,143.383,1.07769,0.60397,*,0.007,1.0
10.0,145.2916,1.1004,0.6251,*,0.0063,1.0
10.2,147.1922,1.12285,0.64607,*,0.0055,1.0
10.4,149.0784,1.1456,0.6681,*,0.0045,1.0
10.6,150.9342,1.1698,0.69297,*,0.0041,1.0
10.8,152.817,1.19057,0.71333,*,0.0041,1.0
11.0,154.6801,1.21176,0.73414,*,0.0041,1.0
11.2,156.5201,1.23348,0.75554,*,0.004,1.0
11.4,158.3376,1.25563,0.77741,*,0.004,1.0
11.6,160.1285,1.27844,0.8,*,0.004,1.0
11.8,161.8907,1.30184,0.82326,*,0.004,1.0
12.0,163.6206,1.32593,0.84787,*,0.004,1.0
12.2,165.2888,1.35056,0.87253,*,0.004,1.0
12.4,166.8176,1.37584,0.898,*,0.0039,1.0
12.6,168.2565,1.40229,0.92475,*,0.0039,1.0
12.8,169.6643,1.43065,0.95338,*,0.0038,1.0
13.0,171.0291,1.46092,0.98403,*,0.0037,1.0
13.2,172.3522,1.49365,1.01702,*,0.0036,1.0
13.4,173.6375,1.52981,1.05341,*,0.0034,1.0
13.6,174.8311,1.56929,1.0932,*,0.0032,1.0
13.8,176.0113,1.61146,1.13602,*,0.0031,1.0
14.0,177.2156,1.65564,1.18053,*,0.0028,1.0
14.2,178.3176,1.70301,1.2288,*,0.0026,1.0
14.4,179.4516,1.75104,1.27789,*,0.0025,1.0
14.6,180.5045,1.80465,1.33303,*,0.0023,1.0
14.8,181.5735,1.86015,1.39035,*,0.0022,1.0
15.0,182.5542,1.92008,1.4525,*,0.0021,1.0
15.2,183.5762,1.97903,1.51309,*,0.0021,1.0
15.4,184.6228,2.03923,1.5747,*,0.0021,1.0
15.6,185.6015,2.10522,1.64254,*,0.0021,1.0
15.8,186.5981,2.1725,1.71141,*,0.0021,1.0
16.0,187.4656,2.24704,1.78779,*,0.0021,1.0
16.2,188.357,2.32274,1.86531,*,0.002,1.0
16.4,189.1642,2.40686,1.95141,*,0.002,1.0
16.6,189.9857,2.49309,2.0396,*,0.002,1.0
16.8,190.7347,2.58674,2.13545,*,0.002,1.0
17.0,191.4099,2.68782,2.2389,*,0.002,1.0
17.2,192.0894,2.78804,2.34131,*,0.002,1.0
17.4,192.6097,2.90476,2.46066,*,0.002,1.0
17.6,193.1943,3.01942,2.57823,*,0.002,1.0
17.8,193.63,3.15045,2.71207,*,0.0019,1.0
18.0,194.0221,3.28933,2.8537,*,0.0019,1.0
18.2,194.4613,3.42701,2.99407,*,0.0019,1.0
18.4,194.6495,3.58907,3.1594,*,0.0018,1.0
18.6,194.8543,3.75408,3.32764,*,0.0018,1.0
18.8,195.0523,3.92426,3.50075,*,0.0018,1.0
19.0,195.0505,4.12177,3.70192,*,0.0017,1.0
19.2,195.002,4.32889,3.91266,*,0.0017,1.0
19.4,194.9651,4.53721,4.12441,*,0.0016,1.0
19.6,194.7582,4.76841,4.35965,*,0.0016,1.0
19.8,194.3734,5.02141,4.61699,*,0.0016,1.0
20.0,193.9635,5.28501,4.88497,*,0.0015,1.0
