0,14400,151.8552,159.1755,158.7755,159.2283,159.07,158.9377,156.8053,144.628,154.6592,158.4658,256.3091,256.2397,256.377,256.3451,256.0275,256.881,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
1,30400,154.5008,160.0517,159.5667,159.7371,159.07,159.2326,157.615,144.1115,156.4879,158.9976,256.7794,255.9614,256.377,256.0692,256.0275,257.1539,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
2,46400,156.0881,161.2199,160.358,160.5002,160.3824,160.4121,157.8849,144.8863,156.2267,159.2635,256.5443,256.2397,256.1091,256.0692,256.2987,256.881,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
3,62400,155.0299,160.6358,160.0942,160.2458,159.5949,159.8223,157.3451,142.8201,155.1816,159.5294,256.5443,256.2397,256.377,256.6211,256.2987,256.335,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
4,78400,154.7654,159.1755,158.7755,158.7197,158.545,158.348,157.3451,142.5619,152.3079,158.1999,256.5443,255.9614,256.377,256.0692,256.2987,257.1539,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
5,94400,154.2362,158.0072,157.193,157.1935,157.2325,156.8736,155.7258,141.5288,152.8304,156.6046,256.3091,256.2397,256.377,256.0692,256.2987,257.1539,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
6,110400,154.5008,158.0072,157.193,157.4479,157.495,157.4633,153.8366,143.8532,151.5242,156.6046,256.7794,255.9614,256.377,256.0692,256.2987,257.1539,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
7,126400,152.3844,159.7596,159.0392,159.2283,158.8074,158.9377,155.7258,144.628,152.8304,158.7317,256.3091,255.9614,256.377,256.3451,256.0275,256.881,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
8,142400,155.2945,160.9279,160.358,160.7545,160.3824,159.8223,155.7258,144.628,155.9654,159.7952,256.7794,256.5179,256.377,256.0692,256.2987,256.881,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
9,158400,155.0314,159.1755,158.7755,158.7197,158.8074,158.0531,155.9957,143.8532,155.7042,157.4023,256.3091,256.2397,256.377,256.0692,256.2987,256.881,31,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
10,174400,155.296,155.6707,155.6105,155.6673,155.3951,155.3992,153.5667,139.9792,151.7854,155.5411,256.7794,255.9614,256.6448,256.0692,256.0275,257.1539,31,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
11,190400,154.2362,158.2993,157.9842,157.9566,158.02,157.7582,155.7258,142.8201,153.0917,157.4023,256.7794,256.2397,256.6448,256.6211,256.8412,256.881,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
12,206400,157.1464,160.9279,160.0942,160.7545,159.8574,159.8223,158.9644,145.4028,157.5329,159.7952,256.5443,256.5179,256.6448,256.6211,256.2987,257.1539,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
13,222400,151.8552,159.1755,158.7755,158.7197,158.2825,158.9377,156.5354,142.5619,154.3979,157.6682,257.0146,256.7961,256.9128,256.6211,256.5699,257.1539,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
14,238400,155.559,158.2993,157.7205,157.9566,157.495,157.7582,153.8366,142.0454,151.5242,157.9341,256.7794,256.7961,256.9128,256.6211,256.8412,257.1539,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
15,254400,158.7337,161.512,160.8855,161.0089,160.3824,160.707,159.2343,143.8532,155.9654,160.5929,257.0146,256.5179,257.1806,256.6211,256.5699,257.1539,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
16,270400,162.4391,162.3882,161.6767,161.5176,161.4324,161.5916,159.5042,144.3697,155.4429,160.8588,256.7794,256.7961,256.6448,256.6211,256.5699,257.4269,31,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
17,286400,154.7654,160.6358,159.8305,159.9914,159.8574,159.5275,156.8053,143.3367,154.6592,159.2635,257.2497,256.5179,257.1806,256.897,256.5699,257.4269,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
