"x [mm]" "y [mm]"
0.99993700396875 0.00059996220238125
0.9899376339290625 0.0029698129017871875
0.979938263889375 0.005329664231153438
0.9699388938496875 0.007689515560519688
0.95993952381 0.010019368779766875
0.9399407837306251 0.014619078998023125
0.91994204365125 0.0191187955158825
0.899943303571875 0.023498519593265627
0.8799445634925 0.027788249340291563
0.859945823413125 0.03196798601688094
0.83994708333375 0.03604772899307344
0.819948343254375 0.040017478898829374
0.799949603175 0.04387723573414875
0.779950863095625 0.04762699949903156
0.75995212301625 0.05125677082343813
0.739953382936875 0.05476654970736844
0.7199546428575 0.058156336150822496
0.699955902778125 0.06142613015380031
0.67995716269875 0.06457593171630188
0.659958422619375 0.06759574146828749
0.63995968254 0.0704755600397175
0.619960942460625 0.07320538806055218
0.59996220238125 0.07575522742067249
0.579963462301875 0.07814507686015781
0.5599647222225 0.08034493826888907
0.539965982143125 0.08236481101690594
0.51996724206375 0.08420469510420843
0.499968501984375 0.08587458990083624
0.479969761905 0.08735449666671001
0.459971021825625 0.08863441603179001
0.43997228174625 0.08971434799607625
0.419973541666875 0.09056429444944969
0.3999748015875 0.09116425665183095
0.379976061508125 0.09151423460321999
0.35997732142875 0.09162422767365656
0.339978581349375 0.09150423523318031
0.31997984127 0.09118425539191032
0.299981101190625 0.09067428751988625
0.27998236111125 0.0899943303571875
0.259983621031875 0.08907438831353624
0.2399848809525 0.08782446705857531
0.219986140873125 0.08613457352186814
0.19998740079375 0.08391471337305749
0.179988660714375 0.08106489291174655
0.159989920635 0.07756511339785593
0.139991180555625 0.073435373571465
0.11999244047625 0.06861567721233562
0.099993700396875 0.06299603125003125
0.0799949603175 0.05642644513395656
0.059996220238125 0.04875692831351625
0.0499968501984375 0.04427721053573625
0.03999748015875 0.03912753496529719
0.0299981101190625 0.03301791987104813
0.019998740079375 0.025368401790687188
0.011999244047625 0.017858874890881875
0.00799949603175 0.013739134434530627
0.003999748015875 0.00891943807540125
0.0019998740079375 0.00579963462301875
0.00099993700396875 0.0037297650248034374
0.000499968501984375 0.0023398525892868753
0.0 0.0
0.000499968501984375 -0.004669705808534063
0.00099993700396875 -0.005939625803574375
0.0019998740079375 -0.0078095080009959374
0.003999748015875 -0.010509337911711563
0.00799949603175 -0.014289099786713439
0.011999244047625 -0.01696893095734969
0.019998740079375 -0.020268723070446564
0.0299981101190625 -0.02260857565973344
0.03999748015875 -0.02451845533731375
0.0499968501984375 -0.026048358953385937
0.059996220238125 -0.027128290917672188
0.0799949603175 -0.028458207132950625
0.099993700396875 -0.029378149176601878
0.11999244047625 -0.02995811263890375
0.139991180555625 -0.030238095000015
0.159989920635 -0.030248094370054688
0.179988660714375 -0.030048106969260937
0.19998740079375 -0.029668130907752815
0.219986140873125 -0.029138164295649378
0.2399848809525 -0.028518203353188748
0.259983621031875 -0.027818247450410626
0.27998236111125 -0.02706829469743406
0.299981101190625 -0.02630834257441781
0.31997984127 -0.02555838982144125
0.339978581349375 -0.024818436438504378
0.35997732142875 -0.024088482425607186
0.379976061508125 -0.023358528412709998
0.3999748015875 -0.022628574399812813
0.419973541666875 -0.021898620386915625
0.43997228174625 -0.021168666374018437
0.459971021825625 -0.020438712361121252
0.479969761905 -0.019698758978184374
0.499968501984375 -0.0189588055952475
0.51996724206375 -0.01822885158235031
0.539965982143125 -0.01748889819941344
0.5599647222225 -0.016758944186516248
0.579963462301875 -0.016018990803579377
0.59996220238125 -0.015289036790682187
0.619960942460625 -0.014559082777785
0.63995968254 -0.013819129394848124
0.659958422619375 -0.013089175381950938
0.67995716269875 -0.012349221999014063
0.699955902778125 -0.011619267986116875
0.7199546428575 -0.01087931460318
0.739953382936875 -0.010149360590282812
0.75995212301625 -0.009409407207345937
0.779950863095625 -0.00867945319444875
0.799949603175 -0.007939499811511876
0.819948343254375 -0.007209545798614687
0.83994708333375 -0.0064795917857175004
0.859945823413125 -0.005739638402780625
0.8799445634925 -0.0050096843898834375
0.899943303571875 -0.004269731006946563
0.91994204365125 -0.003539776994049375
0.9399407837306251 -0.0027998236111125003
0.95993952381 -0.0020698695982153126
0.9699388938496875 -0.0016998929067468752
0.979938263889375 -0.0013299162152784377
0.9899376339290625 -0.0009699388938496876
0.99993700396875 -0.00059996220238125
